Image Number,Citaton,Common Name,Scientific Name, Host Common Name, Host Scientific Name, Descriptor
0008020,"Paul Wray, Iowa State University, Bugwood.org",baldcypress,Taxodium distichum,,,Bark
0008034,"Paul Wray, Iowa State University, Bugwood.org",honeylocust,Gleditsia triacanthos,,,Bark
0008051,"Paul Wray, Iowa State University, Bugwood.org",serviceberry,Amelanchier arborea,,,Bark
0008077,"Paul Wray, Iowa State University, Bugwood.org",American elm,Ulmus americana,,,Flower(s)
0008086,"Paul Wray, Iowa State University, Bugwood.org",shagbark hickory,Carya ovata,,,Flower(s)
0008097,"Paul Wray, Iowa State University, Bugwood.org",black locust,Robinia pseudoacacia,,,Flower(s)
0008140,"Paul Wray, Iowa State University, Bugwood.org",serviceberry,Amelanchier arborea,,,Flower(s)
0008151,"Paul Wray, Iowa State University, Bugwood.org",black walnut,Juglans nigra,,,Flower(s)
0008152,"Paul Wray, Iowa State University, Bugwood.org",black willow,Salix nigra,,,Flower(s)
0008165,"Paul Wray, Iowa State University, Bugwood.org",hophornbeam,Ostrya virginiana,,,Tree(s)
0008168,"Paul Wray, Iowa State University, Bugwood.org",green ash,Fraxinus pennsylvanica,,,Fruit(s)
0008171,"Paul Wray, Iowa State University, Bugwood.org",baldcypress,Taxodium distichum,,,Fruit(s)
0008195,"Paul Wray, Iowa State University, Bugwood.org",American elm,Ulmus americana,,,Fruit(s)
0008210,"Paul Wray, Iowa State University, Bugwood.org",bitternut hickory,Carya cordiformis,,,Fruit(s)
0008211,"Paul Wray, Iowa State University, Bugwood.org",shagbark hickory,Carya ovata,,,Fruit(s)
0008241,"Paul Wray, Iowa State University, Bugwood.org",post oak,Quercus stellata,,,Fruit(s)
0008251,"Paul Wray, Iowa State University, Bugwood.org",white oak,Quercus alba,,,Fruit(s)
0008253,"Paul Wray, Iowa State University, Bugwood.org",white oak,Quercus alba,,,Fruit(s)
0008282,"Paul Wray, Iowa State University, Bugwood.org",butternut,Juglans cinerea,,,Fruit(s)
0008289,"Paul Wray, Iowa State University, Bugwood.org",green ash,Fraxinus pennsylvanica,,,Foliage
0008290,"Paul Wray, Iowa State University, Bugwood.org",white ash,Fraxinus americana,,,Foliage
0008332,"Paul Wray, Iowa State University, Bugwood.org",slippery elm,Ulmus rubra,,,Foliage
0008347,"Paul Wray, Iowa State University, Bugwood.org",bitternut hickory,Carya cordiformis,,,Foliage
0008353,"Paul Wray, Iowa State University, Bugwood.org",shagbark hickory,Carya ovata,,,Foliage
0008360,"Paul Wray, Iowa State University, Bugwood.org",hophornbeam,Ostrya virginiana,,,Foliage
0008383,"Paul Wray, Iowa State University, Bugwood.org",red mulberry,Morus rubra,,,Foliage
0008397,"Paul Wray, Iowa State University, Bugwood.org",northern red oak,Quercus rubra,,,Foliage
0008404,"Paul Wray, Iowa State University, Bugwood.org",white oak,Quercus alba,,,Foliage
0008414,"Paul Wray, Iowa State University, Bugwood.org",eastern white pine,Pinus strobus,,,Foliage
0008427,"Paul Wray, Iowa State University, Bugwood.org",eastern redbud,Cercis canadensis,,,Foliage
0008440,"Paul Wray, Iowa State University, Bugwood.org",American sycamore,Platanus occidentalis,,,Foliage
0008443,"Paul Wray, Iowa State University, Bugwood.org",yellow-poplar,Liriodendron tulipifera,,,Foliage
0008450,"Paul Wray, Iowa State University, Bugwood.org",black willow,Salix nigra,,,Foliage
0008465,"Paul Wray, Iowa State University, Bugwood.org",white ash,Fraxinus americana,,,Feature(s)
0008490,"Paul Wray, Iowa State University, Bugwood.org",slippery elm,Ulmus rubra,,,Feature(s)
0008491,"Paul Wray, Iowa State University, Bugwood.org",slippery elm,Ulmus rubra,,,Feature(s)
0008506,"Paul Wray, Iowa State University, Bugwood.org",shellbark hickory,Carya laciniosa,,,Twig(s)/Shoot(s)
0008549,"Paul Wray, Iowa State University, Bugwood.org",American sycamore,Platanus occidentalis,,,Twig(s)/Shoot(s)
0008552,"Paul Wray, Iowa State University, Bugwood.org",black walnut,Juglans nigra,,,Twig(s)/Shoot(s)
0008554,"Paul Wray, Iowa State University, Bugwood.org",butternut,Juglans cinerea,,,Twig(s)/Shoot(s)
1118027,"Brian Lockhart, USDA Forest Service, Bugwood.org",water tupelo,Nyssa aquatica,,,Stand
1119045,"Chris Evans, Illinois Wildlife Action Plan, Bugwood.org",Carolina silverbell,Halesia carolina,,,Bark
1119379,"Chris Evans, Illinois Wildlife Action Plan, Bugwood.org",slash pine,Pinus elliottii,,,Cones
1119400,"Chris Evans, Illinois Wildlife Action Plan, Bugwood.org",spruce pine,Pinus glabra,,,Foliage
1119401,"Chris Evans, Illinois Wildlife Action Plan, Bugwood.org",spruce pine,Pinus glabra,,,Bark
1119402,"Chris Evans, Illinois Wildlife Action Plan, Bugwood.org",spruce pine,Pinus glabra,,,Foliage
1119403,"Chris Evans, Illinois Wildlife Action Plan, Bugwood.org",spruce pine,Pinus glabra,,,Foliage
1119413,"Chris Evans, Illinois Wildlife Action Plan, Bugwood.org",turkey oak,Quercus laevis,,,Flower(s)
1119446,"Chris Evans, Illinois Wildlife Action Plan, Bugwood.org",water oak,Quercus nigra,,,Flower(s)
